Energy (eV)	Intensity
-0.40	0.00247793449231390
-0.39	0.00258671994332876
-0.38	0.00269498933906257
-0.37	0.00281402138551069
-0.36	0.00296163594391553
-0.35	0.00313950166037520
-0.34	0.00333471953565062
-0.33	0.00354160913941286
-0.32	0.00376627875681222
-0.31	0.00401560874093668
-0.30	0.00429570020672104
-0.29	0.00461498901400091
-0.28	0.00497308777468633
-0.27	0.00536277435514899
-0.26	0.00579562748204949
-0.25	0.00630611214656789
-0.24	0.00691976785807672
-0.23	0.00762828242777144
-0.22	0.00841128648753775
-0.21	0.00928218233878247
-0.20	0.01030281449251450
-0.19	0.01155012716749060
-0.18	0.01309015038256250
-0.17	0.01501082264254990
-0.16	0.01746131248751620
-0.15	0.02063674616789360
-0.14	0.02477959725037460
-0.13	0.03030984482113750
-0.12	0.03808439639191840
-0.11	0.04972342664130820
-0.10	0.06806035477856010
-0.09	0.09769970191517830
-0.08	0.14517760883570800
-0.07	0.21814844603744800
-0.06	0.32334256888196100
-0.05	0.46270385766525200
-0.04	0.62802412959115600
-0.03	0.79711148367220400
-0.02	0.93451962237983800
-0.01	1.00000000000000000
0.00	0.96737241188214000
0.01	0.84311101227143600
0.02	0.66531867357280800
0.03	0.48235787344054500
0.04	0.32962157762614600
0.05	0.21978614453858600
0.06	0.14805518127392500
0.07	0.10324498702576400
0.08	0.07544201715635630
0.09	0.05809286948887010
0.10	0.04722920927555830
0.11	0.04044570353222650
0.12	0.03632086376336630
0.13	0.03402438018573160
0.14	0.03300258320536680
0.15	0.03278203778741620
0.16	0.03287784971025380
0.17	0.03278461443977660
0.18	0.03203289373393550
0.19	0.03029886794030390
0.20	0.02754288436778830
0.21	0.02406937682126970
0.22	0.02038997547856900
0.23	0.01698677054728530
0.24	0.01414253169792840
0.25	0.01189806335922520
0.26	0.01014851591252110
0.27	0.00878044985957577
0.28	0.00771419037235369
0.29	0.00687600966132390
0.30	0.00620077763308145
0.31	0.00565297629415614
0.32	0.00520999809962849
0.33	0.00484152459612682
0.34	0.00452636010284595
0.35	0.00426285911476094
0.36	0.00404521644185507
0.37	0.00385314753752907
0.38	0.00366910851419536
0.39	0.00348609046872953
0.40	0.00330546367958004
0.41	0.00314330628621156
0.42	0.00302766628767339
0.43	0.00297119233065784
0.44	0.00295242182019353
0.45	0.00293317104159318
0.46	0.00288836217157284
0.47	0.00281951008567580
0.48	0.00274791823831340
0.49	0.00269989262594355
0.50	0.00269289487909382
0.51	0.00272676458100717
0.52	0.00279230112564082
0.53	0.00289443214537065
0.54	0.00306680359454791
0.55	0.00336260260444097
0.56	0.00383098816978726
0.57	0.00451215106561897
0.58	0.00544684528255414
0.59	0.00664377752393853
0.60	0.00801290349259383
0.61	0.00935481279610835
0.62	0.01041272921003050
0.63	0.01092537897222710
0.64	0.01071495632627490
0.65	0.00980572810371222
0.66	0.00843420467543270
0.67	0.00692360670069079
0.68	0.00554197751394402
0.69	0.00442712706172735
0.70	0.00359311649064343
0.71	0.00298641441719547
0.72	0.00254346694012210
0.73	0.00221873650291317
0.74	0.00198091749723028
0.75	0.00180185887095864
0.76	0.00165934770969885
0.77	0.00154172344566138
0.78	0.00144232728409375
0.79	0.00135751445703073
0.80	0.00128581773281393
0.81	0.00122333126388424
0.82	0.00116565336557189
0.83	0.00111286874433839
0.84	0.00106833692942913
0.85	0.00103291591817538
0.86	0.00100427755693764
0.87	0.00098275730082948
0.88	0.00097093789220931
0.89	0.00096606462775873
0.90	0.00096001930311679
0.91	0.00094832061555125
0.92	0.00093446668614380
0.93	0.00092609519989287
0.94	0.00092707930014078
0.95	0.00093202825040463
0.96	0.00093355988524358
0.97	0.00093249897102687
0.98	0.00093585002356650
0.99	0.00095214977759708
1.00	0.00098791651917691
1.01	0.00104329317522131
1.02	0.00111982676670733
1.03	0.00123364571043961
1.04	0.00141037876197800
1.05	0.00166440896791909
1.06	0.00199122010845013
1.07	0.00237696827330918
1.08	0.00279364271273595
1.09	0.00318108404458363
1.10	0.00345146609098905
1.11	0.00352271951771085
1.12	0.00336247724920853
1.13	0.00301140945504130
1.14	0.00255937803657998
1.15	0.00209799502346600
1.16	0.00169014240519419
1.17	0.00136266168403528
1.18	0.00111612797849316
1.19	0.00094041227707461
1.20	0.00082160823881373
1.21	0.00074250578592885
1.22	0.00068628403120211
1.23	0.00064336895037592
1.24	0.00061198393835343
1.25	0.00059173453190878
1.26	0.00057891150237638
1.27	0.00056678384161068
1.28	0.00054937691016063
1.29	0.00052605638144326
1.30	0.00050112927881694
1.31	0.00047902209484725
1.32	0.00046308026997809
1.33	0.00045813220446387
1.34	0.00046690585490173
1.35	0.00048276357902105
1.36	0.00049462223130973
1.37	0.00049911774862234
1.38	0.00050363124022317
1.39	0.00051758528174429
1.40	0.00054433315056192
1.41	0.00058506323284048
1.42	0.00064398709288586
1.43	0.00072858042363685
1.44	0.00085172707636604
1.45	0.00102623756466772
1.46	0.00125066658592013
1.47	0.00150442741091130
1.48	0.00175353336828933
1.49	0.00195715102556893
1.50	0.00207374461022600
1.51	0.00206986130154524
1.52	0.00193507963387851
1.53	0.00169975079543638
1.54	0.00142708100646225
1.55	0.00117322055058689
1.56	0.00096215185337429
1.57	0.00079407729839383
1.58	0.00066253070125237
1.59	0.00056452303953539
1.60	0.00049892627967834
1.61	0.00045839767299621
1.62	0.00043120383568196
1.63	0.00041156068490260
1.64	0.00040054816466935
1.65	0.00039682647496000
1.66	0.00039275614180360
1.67	0.00038195158270165
1.68	0.00036656146031956
1.69	0.00035537759957231
1.70	0.00035488473342914
1.71	0.00036450331594127
1.72	0.00038226954975408
1.73	0.00040927424661731
1.74	0.00044699964903644
1.75	0.00049600241697273
1.76	0.00055749803693460
1.77	0.00063628183798907
1.78	0.00074206012058066
1.79	0.00088208054007203
1.80	0.00105007050518878
1.81	0.00122037549065908
1.82	0.00135336945651082
1.83	0.00141221816230064
1.84	0.00137837625212757
1.85	0.00125903080781236
1.86	0.00108486443440012
1.87	0.00089705298024812
1.88	0.00073180353965016
1.89	0.00060765473838945
1.90	0.00052184417002876
1.91	0.00046081866172211
1.92	0.00041466588020909
1.93	0.00038076596556052
1.94	0.00035698965465841
1.95	0.00033924390763650
1.96	0.00032574440928635
1.97	0.00031921948107618
1.98	0.00032123356120983
1.99	0.00032793835627008
2.00	0.00033597993719354
2.01	0.00034616064843389
2.02	0.00036259949848871
2.03	0.00039310598135051
2.04	0.00044538238635937
2.05	0.00052059826681314
2.06	0.00061533333729557
2.07	0.00072583035619661
2.08	0.00084311264251505
2.09	0.00095077226009016
2.10	0.00103169298399021
2.11	0.00107034128631751
2.12	0.00105176684014935
2.13	0.00097131392592127
2.14	0.00084564470850184
2.15	0.00070653101984026
2.16	0.00058384806456064
2.17	0.00049233859900426
2.18	0.00042981363223947
2.19	0.00038519595817054
2.20	0.00034900766958259
2.21	0.00031872663461507
2.22	0.00029625947310311
2.23	0.00028461697739291
2.24	0.00028728230474862
2.25	0.00030644320918498
2.26	0.00034017521909638
2.27	0.00038321309375962
2.28	0.00043277464130509
2.29	0.00049331597029084
2.30	0.00057185883138520
2.31	0.00066405363333429
2.32	0.00074674911023161
2.33	0.00079195827327698
2.34	0.00078661832094453
2.35	0.00073606122682485
2.36	0.00065810959819494
2.37	0.00057304702849033
2.38	0.00049183339607172
2.39	0.00041780938701059
2.40	0.00035619721445804
2.41	0.00031422429430523
2.42	0.00029408472712426
2.43	0.00029013590098140
2.44	0.00029435339926513
2.45	0.00030356826565898
2.46	0.00031835477082191
2.47	0.00033748153760127
2.48	0.00036180122833424
2.49	0.00039604011018597
2.50	0.00044150252915692
2.51	0.00049311490702248
2.52	0.00053920168744270
2.53	0.00056592792879883
2.54	0.00056739871755940
2.55	0.00054610706069249
2.56	0.00050747380554924
2.57	0.00045984249854481
2.58	0.00041425518753344
2.59	0.00038047922473528
2.60	0.00036048686263245
2.61	0.00034640743761064
2.62	0.00033029688841767
2.63	0.00031623691295890
2.64	0.00031635745198796
2.65	0.00033522977478681
2.66	0.00036935101945591
2.67	0.00041522351438744
2.68	0.00046567311290561
2.69	0.00051023625952891
2.70	0.00054278882439311
2.71	0.00055933877555166
2.72	0.00055422851862162
2.73	0.00052445281927061
2.74	0.00047499781223464
2.75	0.00041953025176251
2.76	0.00037345491169121
2.77	0.00034590496471218
2.78	0.00033783598538862
2.79	0.00034256388289568
2.80	0.00035175430362078
2.81	0.00036440133201110
2.82	0.00038429691890269
2.83	0.00040885170704132
2.84	0.00042675628167863
2.85	0.00042820924035103
2.86	0.00041410958684868
2.87	0.00039188744463369
2.88	0.00036706950831186
2.89	0.00034514045513930
2.90	0.00033413718892112
2.91	0.00033833502320072
2.92	0.00035305845255861
2.93	0.00036846746490893
2.94	0.00037769671036894
2.95	0.00038221774928939
2.96	0.00038736204792291
2.97	0.00039171598931740
2.98	0.00038868310530484
2.99	0.00037557364424828
3.00	0.00035389535980985
3.01	0.00032863767113183
3.02	0.00030773526298126
3.03	0.00029577888088638
3.04	0.00029240891309572
3.05	0.00029877962091607
3.06	0.00031793715465587
3.07	0.00034525933999715
3.08	0.00036738043587024
3.09	0.00037517586888590
3.10	0.00037001769914372
3.11	0.00035719333170366
3.12	0.00034169607958368
3.13	0.00032781867743681
3.14	0.00031734559060606
3.15	0.00031024242218728
3.16	0.00030820766564984
3.17	0.00031323602890380
3.18	0.00032250127579354
3.19	0.00033096328181963
3.20	0.00033536332837050
3.21	0.00033387967358198
3.22	0.00032919494539802
3.23	0.00032698996785676
3.24	0.00032861863088505
3.25	0.00033125178755459
3.26	0.00033082553476234
3.27	0.00032332770118251
3.28	0.00031042473166473
3.29	0.00030111158390260
3.30	0.00030115610216244
3.31	0.00030543138257932
3.32	0.00030673212981129
3.33	0.00030617403306322
3.34	0.00030762417964154
3.35	0.00030789069170026
3.36	0.00030229925170684
3.37	0.00029658489380469
3.38	0.00030038025139318
3.39	0.00031163023362441
3.40	0.00032141140281379
3.41	0.00032820661393881
3.42	0.00033360035889458
3.43	0.00033279602785993
3.44	0.00032030046989604
3.45	0.00029782932297341
3.46	0.00027276970159366
3.47	0.00025177572375543
3.48	0.00023769215288654
3.49	0.00023058634734368
3.50	0.00022854525900149
3.51	0.00022963088581655
3.52	0.00023326015761277
3.53	0.00023918233045733
3.54	0.00024799057515994
3.55	0.00026192477506930
3.56	0.00028063390237486
3.57	0.00029705688917699
3.58	0.00030258399880722
3.59	0.00029655519907681
3.60	0.00028551612195218
3.61	0.00027652936912441
3.62	0.00027359677687916
3.63	0.00027317538468362
3.64	0.00026790758941223
3.65	0.00025759487319960
3.66	0.00024768632760432
3.67	0.00024342542577834
3.68	0.00024992847715922
3.69	0.00026632609228243
3.70	0.00028324972793624
3.71	0.00029351190647746
3.72	0.00029922960640691
3.73	0.00030738598474825
3.74	0.00032136120772547
3.75	0.00033810648151249
3.76	0.00035496413018274
3.77	0.00037416045923026
3.78	0.00039661240541189
3.79	0.00041796661225280
3.80	0.00043429175206850
3.81	0.00044338726895319
3.82	0.00044206599344662
3.83	0.00042866637796958
3.84	0.00040531425401495
3.85	0.00037804513265274
3.86	0.00035378308203421
3.87	0.00033279183563985
3.88	0.00030688770499554
3.89	0.00027083571135958
3.90	0.00023111974488557
3.91	0.00019731314608660
3.92	0.00017155834145439
3.93	0.00015234683253810
3.94	0.00014095183988324
3.95	0.00013730138262072
3.96	0.00013669839756128
3.97	0.00013561716970886
3.98	0.00013373434562032
3.99	0.00013095741626011
4.00	0.00012743123956983
