Energy (eV)	Intensity
-1.69	1.46E+02
-1.68	1.08E+02
-1.67	1.07E+02
-1.66	1.10E+02
-1.65	1.24E+02
-1.64	9.99E+01
-1.63	1.50E+02
-1.62	1.35E+02
-1.61	1.46E+02
-1.6	1.53E+02
-1.59	1.43E+02
-1.58	1.47E+02
-1.57	1.23E+02
-1.56	1.16E+02
-1.55	1.30E+02
-1.54	1.13E+02
-1.53	1.37E+02
-1.52	1.31E+02
-1.51	1.44E+02
-1.5	1.40E+02
-1.49	1.42E+02
-1.48	1.79E+02
-1.47	1.86E+02
-1.46	1.30E+02
-1.45	1.74E+02
-1.44	1.70E+02
-1.43	1.64E+02
-1.42	1.49E+02
-1.41	1.52E+02
-1.4	1.57E+02
-1.39	1.65E+02
-1.38	1.42E+02
-1.37	1.55E+02
-1.36	1.53E+02
-1.35	1.67E+02
-1.34	1.97E+02
-1.33	2.01E+02
-1.32	1.77E+02
-1.31	2.09E+02
-1.3	2.09E+02
-1.29	2.45E+02
-1.28	2.28E+02
-1.27	2.43E+02
-1.26	2.20E+02
-1.25	1.98E+02
-1.24	2.18E+02
-1.23	1.94E+02
-1.22	2.17E+02
-1.21	1.92E+02
-1.2	2.06E+02
-1.19	2.21E+02
-1.18	2.37E+02
-1.17	2.53E+02
-1.16	2.43E+02
-1.15	2.29E+02
-1.14	2.53E+02
-1.13	2.52E+02
-1.12	2.68E+02
-1.11	2.68E+02
-1.1	2.65E+02
-1.09	2.66E+02
-1.08	2.90E+02
-1.07	2.73E+02
-1.06	3.00E+02
-1.05	3.27E+02
-1.04	3.34E+02
-1.03	2.72E+02
-1.02	2.84E+02
-1.01	3.15E+02
-1	3.44E+02
-0.99	3.39E+02
-0.98	3.38E+02
-0.97	3.40E+02
-0.96	3.64E+02
-0.95	3.59E+02
-0.94	3.67E+02
-0.93	3.86E+02
-0.92	4.01E+02
-0.91	4.12E+02
-0.9	4.49E+02
-0.89	4.71E+02
-0.88	4.60E+02
-0.87	4.58E+02
-0.86	4.31E+02
-0.85	4.84E+02
-0.84	4.76E+02
-0.83	4.53E+02
-0.82	4.59E+02
-0.81	4.72E+02
-0.8	5.15E+02
-0.79	5.18E+02
-0.78	5.26E+02
-0.77	5.49E+02
-0.76	5.65E+02
-0.75	5.54E+02
-0.74	5.91E+02
-0.73	6.09E+02
-0.72	6.00E+02
-0.71	6.54E+02
-0.7	6.80E+02
-0.69	6.93E+02
-0.68	6.69E+02
-0.67	6.71E+02
-0.66	6.79E+02
-0.65	7.46E+02
-0.64	7.47E+02
-0.63	7.32E+02
-0.62	7.38E+02
-0.61	7.54E+02
-0.6	7.59E+02
-0.59	7.89E+02
-0.58	8.47E+02
-0.57	8.97E+02
-0.56	9.14E+02
-0.55	8.65E+02
-0.54	8.72E+02
-0.53	9.31E+02
-0.52	1.00E+03
-0.51	1.01E+03
-0.5	1.03E+03
-0.49	1.03E+03
-0.48	1.06E+03
-0.47	1.14E+03
-0.46	1.19E+03
-0.45	1.25E+03
-0.44	1.31E+03
-0.43	1.42E+03
-0.42	1.47E+03
-0.41	1.58E+03
-0.4	1.60E+03
-0.39	1.72E+03
-0.38	1.78E+03
-0.37	1.81E+03
-0.36	1.91E+03
-0.35	2.08E+03
-0.34	2.18E+03
-0.33	2.34E+03
-0.32	2.43E+03
-0.31	2.67E+03
-0.3	2.78E+03
-0.29	3.01E+03
-0.28	3.28E+03
-0.27	3.53E+03
-0.26	3.78E+03
-0.25	4.06E+03
-0.24	4.51E+03
-0.23	5.01E+03
-0.22	5.55E+03
-0.21	6.05E+03
-0.2	6.65E+03
-0.19	7.45E+03
-0.18	8.50E+03
-0.17	9.61E+03
-0.16	1.11E+04
-0.15	1.31E+04
-0.14	1.57E+04
-0.13	1.90E+04
-0.12	2.31E+04
-0.11	2.94E+04
-0.1	3.88E+04
-0.09	5.39E+04
-0.08	7.95E+04
-0.07	1.23E+05
-0.06	1.89E+05
-0.05	2.84E+05
-0.04	4.12E+05
-0.03	5.48E+05
-0.02	6.74E+05
-0.01	7.53E+05
0	7.24E+05
0.01	6.01E+05
0.02	4.39E+05
0.03	2.88E+05
0.04	1.83E+05
0.05	1.19E+05
0.06	8.13E+04
0.07	5.76E+04
0.08	4.23E+04
0.09	3.25E+04
0.1	2.63E+04
0.11	2.16E+04
0.12	18277.205
0.13	15614.717
0.14	13482.899
0.15	11796.315
0.16	10280.99
0.17	9136.0938
0.18	8215.6309
0.19	7687.1567
0.2	6917.8784
0.21	6271.0146
0.22	5649.2642
0.23	5054.3472
0.24	4676.0273
0.25	4425.1577
0.26	4092.7813
0.27	3704.5864
0.28	3462.9133
0.29	3266.9614
0.3	3023.0779
0.31	2792.8855
0.32	2681.1489
0.33	2566.9287
0.34	2390.7292
0.35	2270.2996
0.36	2231.6116
0.37	2134.0352
0.38	2048.3574
0.39	1948.3481
0.4	1860.7561
0.41	1714.917
0.42	1618.9817
0.43	1630.7957
0.44	1654.7725
0.45	1664.1964
0.46	1619.3331
0.47	1530.4142
0.48	1453.5823
0.49	1361.2556
0.5	1319.9172
0.51	1318.5497
0.52	1282.9388
0.53	1235.3059
0.54	1143.845
0.55	1086.791
0.56	1101.9058
0.57	1065.6471
0.58	974.16528
0.59	988.8783
0.6	1054.7994
0.61	1047.1943
0.62	955.09369
0.63	957.54169
0.64	970.55615
0.65	931.34564
0.66	957.83044
0.67	920.13409
0.68	896.42999
0.69	844.37616
0.7	845.88306
0.71	812.64893
0.72	785.81049
0.73	733.75922
0.74	713.89465
0.75	725.93927
0.76	664.73108
0.77	665.92615
0.78	642.1236
0.79	603.12939
0.8	599.87671
0.81	580.57483
0.82	563.39105
0.83	534.67932
0.84	510.08438
0.85	514.72198
0.86	499.71359
0.87	487.63226
0.88	479.71143
0.89	504.85654
0.9	501.82867
0.91	491.7688
0.92	480.61908
0.93	460.00882
0.94	463.09775
0.95	492.70377
0.96	464.61899
0.97	448.94824
0.98	447.05267
0.99	406.95715
1	421.96576
1.01	428.33878
1.02	416.0029
1.03	376.83621
1.04	357.52448
1.05	387.35867
1.06	388.83893
1.07	344.83331
1.08	339.38861
1.09	346.35388
1.1	355.06235
1.11	337.39044
1.12	322.85266
1.13	297.56198
1.14	338.69388
1.15	331.43839
1.16	326.96561
1.17	306.28763
1.18	273.68594
1.19	257.17221
1.2	245.83946
1.21	263.36548
1.22	257.80423
1.23	253.13824
1.24	242.35368
1.25	254.41658
1.26	253.39653
1.27	270.33298
1.28	261.08093
1.29	243.69151
1.3	228.86229
1.31	211.8605
1.32	214.05513
1.33	178.96913
1.34	208.7247
1.35	227.74762
1.36	234.0526
1.37	226.81657
1.38	196.57886
1.39	202.43816
1.4	214.23595
1.41	190.6721
1.42	207.54332
1.43	199.89423
1.44	172.13602
1.45	190.77286
1.46	202.72784
1.47	235.69713
1.48	219.96185
1.49	230.19043
1.5	211.84697
1.51	212.46771
1.52	233.29204
1.53	166.85075
1.54	168.27309
1.55	188.00739
1.56	199.53879
1.57	190.43887
1.58	183.28159
1.59	146.35124
1.6	144.7103
1.61	166.01773
1.62	159.00505
1.63	160.66525
1.64	143.71704
1.65	179.06158
1.66	172.15959
1.67	179.01074
1.68	149.02982
1.69	135.74974
1.7	135.34248
1.71	153.27028
1.72	137.05319
1.73	154.90033
1.74	161.53824
1.75	162.38684
1.76	178.42783
1.77	152.97966
1.78	134.65359
1.79	132.49457
1.8	116.22047
1.81	147.418
1.82	147.21638
1.83	118.70375
1.84	137.30811
1.85	116.26725
1.86	134.28468
1.87	121.30044
1.88	109.80108
1.89	127.23312
1.9	130.45943
1.91	160.03389
1.92	120.76009
1.93	145.49786
1.94	126.35345
1.95	141.50871
1.96	130.15364
1.97	108.83972
1.98	141.77231
1.99	133.08636
2	137.54721
2.01	134.72673
2.02	132.75635
2.03	118.99993
2.04	124.89606
2.05	157.60884
2.06	143.79877
2.07	153.25093
2.08	153.36855
2.09	146.13821
2.1	116.93954
2.11	102.03905
2.12	142.26274
2.13	126.62202
2.14	140.66954
2.15	111.81951
2.16	115.13389
2.17	111.80244
2.18	125.59103
2.19	133.04189
2.2	123.42569
2.21	109.59526
2.22	104.68232
2.23	91.970276
2.24	92.995842
2.25	96.344376
2.26	120.3269
2.27	132.44699
2.28	138.42049
2.29	124.60616
2.3	123.76593
2.31	146.25511
2.32	202.22543
2.33	174.51306
2.34	162.63199
2.35	147.38414
2.36	102.74476
2.37	116.31866
2.38	123.43221
2.39	112.51141
2.4	97.278084
2.41	79.835258
2.42	102.3928
2.43	97.10257
2.44	137.54086
2.45	96.231796
2.46	136.87065
2.47	135.36681
2.48	113.20866
2.49	123.31133
2.5	124.80196
2.51	112.79874
2.52	144.65071
2.53	118.44056
2.54	93.028969
2.55	96.033279
2.56	80.132011
2.57	90.911034
2.58	90.805733
2.59	95.027328
2.6	127.34672
2.61	137.35121
2.62	149.37483
2.63	98.396507
2.64	96.638504
2.65	128.63399
2.66	105.06442
2.67	117.62408
2.68	145.16248
2.69	128.86328
2.7	118.67536
2.71	132.33865
2.72	129.19357
2.73	147.67627
2.74	140.54478
2.75	115.8262
2.76	124.22865
2.77	108.41202
2.78	121.48498
2.79	139.47527
2.8	140.27547
2.81	114.55407
2.82	114.20176
2.83	117.28944
2.84	124.05984
2.85	107.64346
2.86	73.285751
2.87	86.805695
2.88	91.458931
2.89	91.525566
2.9	97.937363
2.91	120.48781
2.92	150.51297
2.93	157.72736
2.94	169.98227
2.95	131.77678
2.96	124.42351
2.97	143.439
2.98	112.74102
2.99	111.80382
3	112.32677
3.01	90.132347
3.02	93.217888
